,StateDesc,CityName,Category,Measure,Data_Value_Unit,DataValueTypeID,Data_Value,PopulationCount,Short_Question_Text
21179,Arizona,Mesa,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.0,439041.0,Stroke
21425,Arizona,Peoria,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,12.8,154065.0,Health Insurance
21426,Arizona,Peoria,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,12.4,154065.0,Health Insurance
21476,Arizona,Peoria,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,20.2,154065.0,Arthritis
21477,Arizona,Peoria,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,22.2,154065.0,Arthritis
21578,Arizona,Peoria,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,26.6,154065.0,High Blood Pressure
21579,Arizona,Peoria,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,28.8,154065.0,High Blood Pressure
21629,Arizona,Peoria,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,54.8,154065.0,Taking BP Medication
21630,Arizona,Peoria,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,74.3,154065.0,Taking BP Medication
21680,Arizona,Peoria,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.7,154065.0,Cancer (except skin)
21681,Arizona,Peoria,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,7.4,154065.0,Cancer (except skin)
21731,Arizona,Peoria,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.8,154065.0,Current Asthma
21732,Arizona,Peoria,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.8,154065.0,Current Asthma
21782,Arizona,Peoria,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,4.8,154065.0,Coronary Heart Disease
21783,Arizona,Peoria,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.4,154065.0,Coronary Heart Disease
21833,Arizona,Peoria,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,67.0,154065.0,Annual Checkup
21834,Arizona,Peoria,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,68.4,154065.0,Annual Checkup
21885,Arizona,Peoria,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,77.0,154065.0,Cholesterol Screening
21886,Arizona,Peoria,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,78.7,154065.0,Cholesterol Screening
21984,Arizona,Peoria,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.6,154065.0,COPD
21985,Arizona,Peoria,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,6.0,154065.0,COPD
22231,Arizona,Peoria,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,8.0,154065.0,Diabetes
22232,Arizona,Peoria,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,8.8,154065.0,Diabetes
22283,Arizona,Peoria,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,31.3,154065.0,High Cholesterol
22284,Arizona,Peoria,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,36.5,154065.0,High Cholesterol
22334,Arizona,Peoria,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.5,154065.0,Chronic Kidney Disease
22335,Arizona,Peoria,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.6,154065.0,Chronic Kidney Disease
22487,Arizona,Peoria,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.0,154065.0,Mental Health
22488,Arizona,Peoria,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,10.9,154065.0,Mental Health
22637,Arizona,Peoria,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,10.4,154065.0,Physical Health
22638,Arizona,Peoria,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,11.0,154065.0,Physical Health
22740,Arizona,Peoria,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.4,154065.0,Stroke
22741,Arizona,Peoria,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.7,154065.0,Stroke
22839,Arizona,Phoenix,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,21.9,1445632.0,Health Insurance
22840,Arizona,Phoenix,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,22.0,1445632.0,Health Insurance
23200,Arizona,Phoenix,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,21.5,1445632.0,Arthritis
23201,Arizona,Phoenix,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,19.6,1445632.0,Arthritis
23921,Arizona,Phoenix,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,29.7,1445632.0,High Blood Pressure
23922,Arizona,Phoenix,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,27.5,1445632.0,High Blood Pressure
24282,Arizona,Phoenix,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,56.3,1445632.0,Taking BP Medication
24283,Arizona,Phoenix,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,69.2,1445632.0,Taking BP Medication
24643,Arizona,Phoenix,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.3,1445632.0,Cancer (except skin)
24644,Arizona,Phoenix,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,5.5,1445632.0,Cancer (except skin)
25006,Arizona,Phoenix,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,9.3,1445632.0,Current Asthma
25007,Arizona,Phoenix,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,9.4,1445632.0,Current Asthma
25367,Arizona,Phoenix,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,5.9,1445632.0,Coronary Heart Disease
25368,Arizona,Phoenix,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.1,1445632.0,Coronary Heart Disease
25728,Arizona,Phoenix,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,66.2,1445632.0,Annual Checkup
25729,Arizona,Phoenix,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,64.8,1445632.0,Annual Checkup
26089,Arizona,Phoenix,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,72.6,1445632.0,Cholesterol Screening
26090,Arizona,Phoenix,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,70.7,1445632.0,Cholesterol Screening
26810,Arizona,Phoenix,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,6.8,1445632.0,COPD
26811,Arizona,Phoenix,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,6.3,1445632.0,COPD
28623,Arizona,Phoenix,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,10.7,1445632.0,Diabetes
28624,Arizona,Phoenix,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,9.8,1445632.0,Diabetes
28984,Arizona,Phoenix,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,33.0,1445632.0,High Cholesterol
28985,Arizona,Phoenix,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,35.4,1445632.0,High Cholesterol
29345,Arizona,Phoenix,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.1,1445632.0,Chronic Kidney Disease
29346,Arizona,Phoenix,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.8,1445632.0,Chronic Kidney Disease
30425,Arizona,Phoenix,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.0,1445632.0,Mental Health
30426,Arizona,Phoenix,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.4,1445632.0,Mental Health
31493,Arizona,Phoenix,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.7,1445632.0,Physical Health
31494,Arizona,Phoenix,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.3,1445632.0,Physical Health
32216,Arizona,Phoenix,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.2,1445632.0,Stroke
32217,Arizona,Phoenix,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.8,1445632.0,Stroke
32935,Arizona,Scottsdale,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,9.2,217385.0,Health Insurance
32936,Arizona,Scottsdale,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,8.5,217385.0,Health Insurance
33002,Arizona,Scottsdale,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,18.8,217385.0,Arthritis
33003,Arizona,Scottsdale,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,23.3,217385.0,Arthritis
33135,Arizona,Scottsdale,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,24.6,217385.0,High Blood Pressure
33136,Arizona,Scottsdale,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,29.7,217385.0,High Blood Pressure
33201,Arizona,Scottsdale,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,54.2,217385.0,Taking BP Medication
33202,Arizona,Scottsdale,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,76.7,217385.0,Taking BP Medication
33267,Arizona,Scottsdale,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.9,217385.0,Cancer (except skin)
33268,Arizona,Scottsdale,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,8.7,217385.0,Cancer (except skin)
33333,Arizona,Scottsdale,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.4,217385.0,Current Asthma
33334,Arizona,Scottsdale,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.2,217385.0,Current Asthma
33400,Arizona,Scottsdale,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,4.3,217385.0,Coronary Heart Disease
33401,Arizona,Scottsdale,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.6,217385.0,Coronary Heart Disease
33466,Arizona,Scottsdale,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,67.5,217385.0,Annual Checkup
33467,Arizona,Scottsdale,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,70.6,217385.0,Annual Checkup
33534,Arizona,Scottsdale,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,79.3,217385.0,Cholesterol Screening
33535,Arizona,Scottsdale,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,83.1,217385.0,Cholesterol Screening
33665,Arizona,Scottsdale,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,4.6,217385.0,COPD
33666,Arizona,Scottsdale,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,5.4,217385.0,COPD
33992,Arizona,Scottsdale,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,6.7,217385.0,Diabetes
33993,Arizona,Scottsdale,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,8.3,217385.0,Diabetes
34058,Arizona,Scottsdale,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,30.3,217385.0,High Cholesterol
34059,Arizona,Scottsdale,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,37.7,217385.0,High Cholesterol
34125,Arizona,Scottsdale,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.3,217385.0,Chronic Kidney Disease
34126,Arizona,Scottsdale,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.8,217385.0,Chronic Kidney Disease
34322,Arizona,Scottsdale,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,9.4,217385.0,Mental Health
34323,Arizona,Scottsdale,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,9.0,217385.0,Mental Health
34514,Arizona,Scottsdale,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,8.6,217385.0,Physical Health
34515,Arizona,Scottsdale,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,9.6,217385.0,Physical Health
34646,Arizona,Scottsdale,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.1,217385.0,Stroke
34647,Arizona,Scottsdale,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.6,217385.0,Stroke
34778,Arizona,Surprise,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,13.3,117517.0,Health Insurance
34779,Arizona,Surprise,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,13.1,117517.0,Health Insurance
34810,Arizona,Surprise,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,20.3,117517.0,Arthritis
34811,Arizona,Surprise,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,23.7,117517.0,Arthritis
34876,Arizona,Surprise,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,27.0,117517.0,High Blood Pressure
34877,Arizona,Surprise,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,31.0,117517.0,High Blood Pressure
34910,Arizona,Surprise,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,55.1,117517.0,Taking BP Medication
34911,Arizona,Surprise,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,76.2,117517.0,Taking BP Medication
34944,Arizona,Surprise,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.7,117517.0,Cancer (except skin)
34945,Arizona,Surprise,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,8.2,117517.0,Cancer (except skin)
34978,Arizona,Surprise,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.9,117517.0,Current Asthma
34979,Arizona,Surprise,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.7,117517.0,Current Asthma
35011,Arizona,Surprise,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,4.9,117517.0,Coronary Heart Disease
35012,Arizona,Surprise,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.1,117517.0,Coronary Heart Disease
35044,Arizona,Surprise,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,67.1,117517.0,Annual Checkup
35045,Arizona,Surprise,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,69.4,117517.0,Annual Checkup
35077,Arizona,Surprise,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,76.6,117517.0,Cholesterol Screening
35078,Arizona,Surprise,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,79.6,117517.0,Cholesterol Screening
35143,Arizona,Surprise,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.6,117517.0,COPD
35144,Arizona,Surprise,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,6.3,117517.0,COPD
35305,Arizona,Surprise,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,8.0,117517.0,Diabetes
35306,Arizona,Surprise,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,9.5,117517.0,Diabetes
35338,Arizona,Surprise,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,31.4,117517.0,High Cholesterol
35339,Arizona,Surprise,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,38.1,117517.0,High Cholesterol
35371,Arizona,Surprise,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.6,117517.0,Chronic Kidney Disease
35372,Arizona,Surprise,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.8,117517.0,Chronic Kidney Disease
35471,Arizona,Surprise,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.2,117517.0,Mental Health
35472,Arizona,Surprise,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,10.6,117517.0,Mental Health
35565,Arizona,Surprise,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,10.5,117517.0,Physical Health
35566,Arizona,Surprise,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,11.1,117517.0,Physical Health
35632,Arizona,Surprise,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.5,117517.0,Stroke
35633,Arizona,Surprise,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.9,117517.0,Stroke
35696,Arizona,Tempe,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,14.0,161719.0,Health Insurance
35697,Arizona,Tempe,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,14.7,161719.0,Health Insurance
35737,Arizona,Tempe,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,20.3,161719.0,Arthritis
35738,Arizona,Tempe,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,15.3,161719.0,Arthritis
35819,Arizona,Tempe,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,27.7,161719.0,High Blood Pressure
35820,Arizona,Tempe,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,21.6,161719.0,High Blood Pressure
35861,Arizona,Tempe,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,55.9,161719.0,Taking BP Medication
35862,Arizona,Tempe,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,65.6,161719.0,Taking BP Medication
35902,Arizona,Tempe,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.6,161719.0,Cancer (except skin)
35903,Arizona,Tempe,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,4.8,161719.0,Cancer (except skin)
35943,Arizona,Tempe,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.8,161719.0,Current Asthma
35944,Arizona,Tempe,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,9.1,161719.0,Current Asthma
35985,Arizona,Tempe,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,5.1,161719.0,Coronary Heart Disease
35986,Arizona,Tempe,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,3.7,161719.0,Coronary Heart Disease
36026,Arizona,Tempe,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,66.8,161719.0,Annual Checkup
36027,Arizona,Tempe,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,63.6,161719.0,Annual Checkup
36067,Arizona,Tempe,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,76.0,161719.0,Cholesterol Screening
36068,Arizona,Tempe,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,67.0,161719.0,Cholesterol Screening
36149,Arizona,Tempe,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.7,161719.0,COPD
36150,Arizona,Tempe,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,4.8,161719.0,COPD
36355,Arizona,Tempe,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,8.7,161719.0,Diabetes
36356,Arizona,Tempe,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,6.5,161719.0,Diabetes
36396,Arizona,Tempe,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,31.9,161719.0,High Cholesterol
36397,Arizona,Tempe,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,30.5,161719.0,High Cholesterol
36437,Arizona,Tempe,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.7,161719.0,Chronic Kidney Disease
36438,Arizona,Tempe,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.2,161719.0,Chronic Kidney Disease
36556,Arizona,Tempe,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.2,161719.0,Mental Health
36557,Arizona,Tempe,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,11.8,161719.0,Mental Health
36679,Arizona,Tempe,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.0,161719.0,Physical Health
36680,Arizona,Tempe,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,9.5,161719.0,Physical Health
36761,Arizona,Tempe,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.6,161719.0,Stroke
36762,Arizona,Tempe,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,1.9,161719.0,Stroke
36843,Arizona,Tucson,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,20.7,520116.0,Health Insurance
36844,Arizona,Tucson,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,20.6,520116.0,Health Insurance
36991,Arizona,Tucson,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,21.8,520116.0,Arthritis
36992,Arizona,Tucson,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,20.9,520116.0,Arthritis
37287,Arizona,Tucson,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,27.9,520116.0,High Blood Pressure
37288,Arizona,Tucson,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,26.8,520116.0,High Blood Pressure
37437,Arizona,Tucson,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,55.4,520116.0,Taking BP Medication
37438,Arizona,Tucson,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,71.4,520116.0,Taking BP Medication
37585,Arizona,Tucson,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,5.7,520116.0,Cancer (except skin)
37586,Arizona,Tucson,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,5.5,520116.0,Cancer (except skin)
37736,Arizona,Tucson,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.4,520116.0,Current Asthma
37737,Arizona,Tucson,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.5,520116.0,Current Asthma
37885,Arizona,Tucson,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,6.0,520116.0,Coronary Heart Disease
37886,Arizona,Tucson,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.8,520116.0,Coronary Heart Disease
38033,Arizona,Tucson,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,65.4,520116.0,Annual Checkup
38034,Arizona,Tucson,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,64.9,520116.0,Annual Checkup
38183,Arizona,Tucson,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,70.9,520116.0,Cholesterol Screening
38184,Arizona,Tucson,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,68.4,520116.0,Cholesterol Screening
38479,Arizona,Tucson,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,6.8,520116.0,COPD
38480,Arizona,Tucson,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,6.6,520116.0,COPD
39214,Arizona,Tucson,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,10.8,520116.0,Diabetes
39215,Arizona,Tucson,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,10.3,520116.0,Diabetes
39362,Arizona,Tucson,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,33.0,520116.0,High Cholesterol
39363,Arizona,Tucson,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,36.6,520116.0,High Cholesterol
39510,Arizona,Tucson,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.2,520116.0,Chronic Kidney Disease
39511,Arizona,Tucson,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,3.1,520116.0,Chronic Kidney Disease
39956,Arizona,Tucson,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.4,520116.0,Mental Health
39957,Arizona,Tucson,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.5,520116.0,Mental Health
40388,Arizona,Tucson,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.8,520116.0,Physical Health
40389,Arizona,Tucson,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.4,520116.0,Physical Health
40687,Arizona,Tucson,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.2,520116.0,Stroke
40688,Arizona,Tucson,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.1,520116.0,Stroke
40979,Arizona,Yuma,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,23.5,93064.0,Health Insurance
40980,Arizona,Yuma,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,23.6,93064.0,Health Insurance
41013,Arizona,Yuma,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,22.0,93064.0,Arthritis
